Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DistrictofColumbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,PuertoRico,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming,AmericanSamoa,NorthernMarianaIslands,VirginIslands
14-07-2020,40,0,91,8,146,11,1,0,0,132,28,0,0,1,25,6,2,1,6,22,0,9,10,5,6,22,9,2,-2,19,1,22,3,13,42,1,13,4,7,21,2,1,21,0,18,86,10,0,9,12,0,6,1,0,0,0
15-07-2020,47,0,97,4,134,6,8,0,3,112,37,0,0,7,8,11,20,5,10,16,0,7,28,4,10,18,6,0,5,6,2,52,6,19,18,0,12,4,3,25,2,0,5,2,16,154,7,0,15,3,1,1,0,0,0,0
16-07-2020,19,0,58,6,112,1,9,0,3,156,14,0,0,4,25,10,4,1,5,24,0,6,12,18,8,18,2,1,8,8,1,31,5,19,18,1,21,6,2,26,1,1,72,4,13,170,1,0,15,6,1,4,2,0,0,0
17-07-2020,35,0,91,12,112,6,7,0,3,128,27,0,1,4,13,9,4,1,8,24,1,12,22,7,7,24,4,2,2,11,0,19,3,17,16,1,14,7,5,21,5,2,26,1,19,149,1,0,6,6,1,2,0,0,0,0
18-07-2020,21,1,147,4,88,1,0,2,1,90,37,0,1,1,18,9,4,2,9,0,2,9,17,9,5,14,11,0,0,9,1,15,4,13,25,0,24,6,3,12,1,4,39,0,23,129,8,0,12,7,0,10,0,0,0,0
19-07-2020,1,0,31,0,27,0,0,3,0,87,5,0,0,0,5,9,4,1,3,34,0,9,12,2,3,9,0,0,0,1,2,7,2,17,4,2,29,0,3,9,0,2,20,2,5,84,0,0,2,9,0,1,1,0,0,0
20-07-2020,4,0,23,6,54,6,10,0,1,90,3,0,0,3,6,14,5,3,1,-81,0,5,2,7,4,3,3,2,12,1,0,9,7,11,25,1,24,1,2,3,2,2,9,0,4,112,4,0,4,11,0,2,-1,0,0,0
21-07-2020,12,0,134,11,115,5,0,2,1,134,77,0,0,4,23,9,8,4,3,36,1,20,17,9,3,31,10,1,-3,28,2,22,10,14,28,1,13,9,7,20,0,1,57,0,24,116,4,0,17,12,1,13,1,0,0,0
22-07-2020,61,1,56,6,158,8,0,2,0,139,81,0,1,9,23,13,8,5,3,60,0,3,18,6,4,34,11,2,1,28,2,-30,3,38,27,2,26,13,2,26,5,1,64,1,17,233,9,0,3,8,0,6,0,0,0,1
23-07-2020,33,0,89,6,136,15,4,0,1,173,26,0,1,3,20,10,6,1,7,16,0,4,16,7,9,13,30,1,5,5,3,23,5,36,24,1,23,3,2,16,3,0,49,2,37,196,7,0,3,9,1,13,0,0,0,0
24-07-2020,41,0,80,8,141,4,3,2,0,135,82,0,0,6,17,11,6,8,7,141,0,13,14,5,5,27,6,3,0,13,2,35,5,2,33,2,29,7,9,22,3,0,51,1,13,182,6,0,13,13,1,0,0,0,0,0
25-07-2020,18,1,143,5,88,4,0,2,0,124,51,0,0,0,12,11,0,-1,5,0,1,11,12,0,5,15,5,0,0,10,2,11,6,12,22,0,30,12,0,9,10,3,80,0,26,175,1,0,8,12,0,13,0,0,0,0
26-07-2020,17,0,19,2,37,0,0,1,0,77,4,0,0,2,1,10,3,2,4,48,0,7,19,0,3,15,9,0,0,2,0,11,7,22,6,0,19,0,7,3,0,1,26,1,3,125,0,0,3,15,0,1,0,0,0,0
27-07-2020,18,1,-1,7,52,5,5,1,1,77,11,0,0,6,18,4,7,4,9,23,0,7,7,5,2,5,12,1,1,5,0,17,5,15,21,0,24,0,0,5,0,1,15,0,11,696,7,0,4,8,1,1,0,0,0,0
28-07-2020,0,1,104,20,174,8,5,0,1,186,54,0,0,8,30,6,3,5,10,26,2,11,15,16,4,42,11,4,4,20,0,21,7,8,22,1,31,13,14,24,8,1,59,0,21,213,5,0,13,14,4,13,1,0,0,0
29-07-2020,47,0,46,6,213,15,2,1,1,216,79,0,0,13,16,21,15,9,5,71,0,20,29,1,9,23,7,3,3,21,2,-27,6,5,28,2,34,14,8,14,2,0,50,6,21,258,6,0,30,16,3,5,0,0,0,1
30-07-2020,27,1,172,8,129,0,6,0,0,253,29,0,0,4,16,9,11,8,7,42,1,10,0,21,5,48,16,1,4,21,4,11,3,24,34,1,26,13,5,23,3,1,52,0,13,256,8,1,16,13,1,8,0,0,0,0
31-07-2020,15,0,68,11,210,16,1,1,0,257,81,0,0,11,22,11,7,1,4,24,1,5,29,7,6,52,10,5,4,29,0,10,7,6,20,0,24,5,6,11,5,1,45,1,27,140,4,0,33,15,4,15,0,0,0,0
01-08-2020,23,1,53,5,124,6,0,2,0,179,73,0,0,9,8,13,2,0,5,0,0,13,17,7,6,30,11,1,0,2,1,11,9,5,37,0,14,8,3,12,6,1,39,4,7,288,6,0,41,16,0,13,0,0,0,0
02-08-2020,24,0,18,6,58,0,0,0,0,62,15,0,0,0,14,9,4,3,2,58,0,9,12,0,8,10,1,0,0,0,1,6,3,16,4,2,23,1,1,4,5,2,26,1,6,17,1,0,3,9,1,1,0,0,0,0
03-08-2020,6,1,14,11,48,0,5,0,2,73,2,0,0,3,9,9,6,6,2,17,1,8,10,10,2,8,3,3,-4,15,0,10,1,9,60,0,19,1,2,2,0,1,16,0,19,164,3,0,0,10,0,1,1,0,0,0
04-08-2020,33,0,66,15,187,5,0,1,1,245,79,0,1,10,19,11,4,1,7,27,-1,7,9,4,4,42,13,0,4,15,1,11,3,6,18,2,16,15,5,24,7,2,54,1,25,240,7,0,26,18,7,12,0,0,0,0
05-08-2020,29,0,87,18,166,2,0,5,0,225,63,0,0,7,28,5,12,4,1,45,1,6,2,7,10,51,8,1,8,28,0,-15,9,29,24,1,24,17,5,7,9,2,47,1,27,381,6,0,30,21,0,9,0,0,0,0
06-08-2020,19,0,70,7,211,1,0,0,0,120,42,0,2,6,21,15,12,6,8,50,0,15,32,28,7,21,5,0,0,10,1,7,2,2,41,1,25,10,1,29,12,0,48,4,42,860,3,1,25,8,0,8,0,0,0,1
07-08-2020,21,0,79,6,123,5,4,0,2,180,91,0,2,6,31,14,3,2,4,61,0,14,18,18,4,23,24,5,5,20,0,0,6,4,34,1,26,7,9,14,7,2,20,3,20,276,5,0,18,17,3,12,1,0,0,0
08-08-2020,20,1,56,14,169,0,0,0,1,182,69,0,0,6,18,12,12,0,8,0,1,12,12,-4,8,26,4,5,0,29,0,20,6,8,24,2,18,3,7,14,9,1,45,2,9,209,0,0,5,9,4,6,0,0,0,0
09-08-2020,13,0,13,9,31,1,0,0,1,77,13,0,0,2,5,7,4,1,1,56,0,8,14,-1,9,22,7,0,0,8,0,5,4,6,8,0,23,0,1,1,5,0,24,0,8,109,1,0,4,11,8,2,0,0,0,0
10-08-2020,29,0,4,11,146,4,3,0,0,91,30,0,3,2,1,16,3,6,2,24,0,6,6,7,3,16,7,0,3,6,0,4,5,7,7,1,25,2,1,3,0,1,17,0,10,92,9,0,1,11,2,0,0,0,0,0
11-08-2020,50,0,45,11,51,12,0,2,2,276,122,0,0,7,20,13,12,6,8,26,1,13,10,7,6,32,5,2,3,18,0,12,3,6,49,5,24,13,11,29,8,3,50,0,38,-22,4,0,17,8,6,8,1,0,0,0
12-08-2020,35,1,148,6,232,1,6,0,0,212,105,0,4,0,15,15,7,4,7,43,0,8,18,6,17,45,8,3,5,15,1,-5,2,10,32,2,19,9,7,36,8,1,46,1,18,304,2,0,8,14,6,5,0,0,0,0
13-08-2020,8,0,36,10,118,7,0,0,1,148,82,0,2,5,24,15,7,6,6,46,0,8,21,16,7,22,2,1,4,34,2,8,2,8,7,0,29,11,8,16,11,0,40,1,24,238,2,0,11,10,0,7,1,0,0,0
14-08-2020,3,0,40,5,274,6,3,0,0,228,35,0,0,14,27,16,10,1,8,28,0,11,20,11,8,32,9,0,1,15,1,10,6,22,26,1,27,6,2,39,11,3,20,2,13,304,7,0,7,15,4,7,0,0,0,0
15-08-2020,3,1,69,13,66,8,0,0,3,204,96,0,0,4,5,12,5,2,6,0,1,5,16,20,-34,37,13,1,0,24,0,7,8,6,30,0,19,13,1,17,12,0,56,2,19,190,3,0,11,11,3,13,0,0,0,0
16-08-2020,2,0,14,-1,30,0,0,0,0,107,33,0,0,0,18,12,0,0,0,77,0,3,12,6,47,4,5,0,0,3,0,2,3,7,4,4,20,4,2,3,6,7,9,1,21,134,0,0,0,11,0,1,0,0,0,0
17-08-2020,27,0,0,4,54,0,3,2,0,87,25,0,0,4,12,23,12,1,8,19,0,2,4,0,6,11,32,0,1,5,0,4,4,6,1,1,15,4,0,0,0,2,19,0,21,57,1,0,4,7,0,0,0,0,0,0
18-08-2020,11,1,23,16,161,3,0,1,2,219,67,0,1,9,27,5,15,4,12,28,0,9,6,16,9,32,11,2,7,25,1,9,5,11,48,2,23,14,9,22,11,5,55,1,37,222,5,0,11,7,2,0,0,0,0,0
19-08-2020,8,0,105,12,222,1,1,0,1,174,55,0,1,7,23,16,8,4,12,55,0,11,28,10,17,36,9,0,2,32,3,1,6,8,35,2,23,20,11,33,10,0,17,1,28,243,8,0,14,12,4,21,4,0,0,0
20-08-2020,30,0,50,10,130,3,1,0,1,117,55,1,3,7,27,17,6,4,14,28,1,8,12,16,7,27,8,5,2,38,1,6,5,-3,34,0,24,10,4,13,11,3,41,2,36,251,4,0,17,8,1,7,0,0,0,1
21-08-2020,22,1,4,22,136,7,2,1,1,119,94,0,1,9,22,8,13,7,8,50,1,5,13,0,8,24,3,0,3,13,0,9,5,3,29,2,30,6,2,17,7,2,58,2,61,233,2,0,9,4,4,1,3,0,0,0
22-08-2020,15,1,68,11,119,8,0,1,2,106,94,0,1,1,17,15,4,0,8,0,1,11,20,21,8,23,6,1,0,12,1,2,4,7,27,3,26,10,3,18,7,1,34,1,14,153,2,0,7,5,6,13,0,0,0,0
23-08-2020,2,1,15,13,72,0,0,1,0,51,40,0,0,1,6,12,4,0,0,59,1,6,0,4,6,3,2,0,2,0,0,3,2,12,10,1,29,1,0,2,9,1,11,1,4,124,0,0,24,4,2,0,0,0,0,0
24-08-2020,11,0,0,9,82,1,0,0,0,72,24,1,2,7,8,14,10,3,12,18,0,3,28,4,4,8,0,1,5,3,0,0,4,4,4,1,23,4,3,2,0,1,7,0,21,57,5,0,4,7,0,0,0,0,0,1
25-08-2020,13,4,21,15,144,7,3,0,0,183,106,0,0,12,29,11,12,1,11,33,0,13,12,21,8,67,18,6,0,30,0,7,3,31,35,1,25,14,8,24,5,1,18,0,40,174,7,0,23,6,8,13,0,0,0,1
26-08-2020,8,1,104,21,130,1,0,0,1,153,49,2,2,11,37,3,12,12,7,54,1,10,26,6,15,58,11,1,3,20,0,-39,3,3,36,0,22,19,5,29,9,1,44,1,20,192,4,0,21,15,3,6,0,0,0,2
27-08-2020,31,0,33,7,158,4,2,0,0,135,82,0,4,6,23,16,20,4,8,23,0,5,21,16,15,26,7,0,5,21,2,7,9,5,24,1,23,15,5,8,8,2,55,0,25,222,2,0,12,9,8,11,0,0,0,0
28-08-2020,31,0,49,17,144,6,0,1,0,89,78,1,4,10,20,9,17,1,8,30,0,5,16,6,4,14,12,2,1,16,1,9,3,8,22,0,25,8,9,20,12,2,27,3,28,168,4,0,23,8,3,2,0,0,0,0
29-08-2020,45,0,29,16,102,5,0,0,0,148,105,0,3,5,11,12,-8,4,3,0,0,19,12,0,4,14,29,4,0,15,0,3,2,4,31,2,19,11,7,14,4,2,43,2,24,128,0,0,18,5,14,6,0,0,0,0
30-08-2020,10,0,23,12,18,0,0,0,1,14,28,0,1,1,11,9,13,0,8,27,0,6,13,36,2,14,5,0,0,0,0,4,1,13,9,1,21,2,4,2,6,2,11,0,22,77,0,0,1,5,-1,3,0,0,0,0
31-08-2020,20,0,-1,13,86,3,0,2,1,68,29,0,7,2,7,13,7,2,4,19,0,3,11,5,1,32,14,0,5,3,0,8,9,6,10,1,24,1,1,0,0,1,11,0,7,41,0,0,11,8,1,0,0,0,0,0
01-09-2020,18,2,15,17,113,1,1,3,0,187,100,3,4,6,38,7,5,3,15,34,0,6,4,14,5,20,15,1,2,8,0,5,8,9,39,2,25,8,5,19,1,2,37,0,27,135,2,0,32,6,9,8,0,0,0,1
02-09-2020,17,0,21,27,180,6,1,2,1,127,62,0,1,5,27,10,8,5,18,20,1,5,-4,14,11,33,17,4,0,23,0,14,3,6,38,3,25,13,4,26,8,2,37,2,16,177,1,0,29,6,9,12,4,0,0,0
03-09-2020,16,1,65,20,174,3,1,0,1,149,73,0,4,0,24,6,3,10,10,17,0,12,17,10,7,10,8,2,5,27,0,7,1,4,24,2,22,14,2,19,5,3,13,0,18,186,4,0,11,6,7,4,0,0,0,1
04-09-2020,33,0,41,12,153,0,0,0,2,100,63,1,2,10,38,14,22,10,11,14,1,11,23,7,10,22,21,3,0,12,0,7,3,6,36,0,15,11,5,10,7,1,39,1,22,126,5,0,10,2,5,7,1,0,0,0
05-09-2020,9,2,36,9,45,16,0,1,0,61,46,0,3,2,23,11,6,0,6,0,0,7,16,8,4,11,61,2,0,13,0,7,6,5,50,5,20,4,5,15,9,1,31,3,25,144,1,0,15,10,1,15,0,0,0,0
06-09-2020,1,0,14,12,46,1,0,1,0,38,60,0,1,1,5,14,3,1,3,58,0,3,9,0,6,15,18,1,0,1,1,4,3,0,1,1,20,3,1,0,13,1,10,0,3,77,2,0,1,6,3,0,0,0,0,1
07-09-2020,0,0,-2,14,43,1,0,2,0,22,7,0,1,0,8,11,3,5,0,12,0,5,8,4,3,1,3,1,0,4,0,2,4,15,7,0,17,0,1,21,0,1,20,0,4,47,1,0,6,4,-1,0,0,0,0,0
08-09-2020,1,0,2,9,69,0,6,1,0,44,26,5,2,4,7,15,15,-1,1,13,0,3,8,1,2,0,3,1,3,0,0,5,0,14,12,0,17,1,4,8,5,2,5,0,27,102,1,0,2,2,4,0,0,0,0,1
09-09-2020,8,0,30,11,168,4,0,1,4,195,58,1,3,31,28,13,19,14,16,22,0,9,5,75,7,38,12,3,14,19,0,12,6,4,49,1,21,9,8,14,18,1,30,0,35,130,3,0,11,4,3,15,0,0,0,0
10-09-2020,16,0,22,12,114,2,4,0,1,216,76,1,3,-13,28,12,3,4,22,21,0,8,20,8,15,33,11,1,9,17,1,6,3,0,32,3,20,13,3,13,12,1,33,4,57,16,3,0,11,7,3,10,0,0,0,0
11-09-2020,32,1,15,13,134,6,2,2,0,176,42,2,2,5,44,12,9,13,9,41,0,4,14,6,13,14,7,8,7,10,0,9,2,0,33,4,23,12,2,23,11,0,53,0,37,277,1,0,3,7,6,4,0,0,0,0
12-09-2020,17,1,27,16,84,3,0,0,0,98,41,0,1,3,22,4,2,10,13,0,1,8,16,11,9,15,8,2,0,10,1,4,3,4,24,3,22,11,6,0,12,3,12,6,39,107,2,0,11,6,2,12,0,0,0,1
13-09-2020,1,0,7,12,52,0,0,0,0,8,46,0,2,0,14,18,2,2,3,33,1,2,14,0,13,12,4,2,-3,3,1,4,2,0,5,1,18,6,4,1,4,0,24,1,14,80,0,0,2,5,1,1,0,0,0,0
14-09-2020,4,0,0,11,56,2,5,1,0,34,20,3,0,4,5,14,4,14,5,17,0,1,9,10,3,9,8,3,1,4,0,3,0,7,8,2,17,0,0,27,3,2,13,0,19,44,3,0,19,7,11,0,0,0,0,0
15-09-2020,32,0,22,158,151,6,0,1,0,145,44,2,1,4,18,12,10,15,9,26,1,10,6,11,5,28,19,2,1,26,2,9,7,8,51,2,12,7,10,6,9,2,21,0,30,142,0,0,96,9,5,10,0,0,0,0
16-09-2020,5,0,27,7,110,6,2,2,1,152,22,0,3,6,35,8,14,29,8,18,1,6,20,11,6,22,9,1,3,12,0,11,2,4,38,5,11,12,2,22,19,5,34,8,24,138,1,0,45,8,10,8,8,0,0,0
17-09-2020,9,0,38,9,104,4,1,0,2,147,55,2,4,5,25,15,2,0,11,17,0,6,15,12,9,24,17,2,3,12,0,3,4,27,31,5,22,6,0,11,18,0,26,1,13,88,0,0,36,6,4,3,-1,0,0,0
18-09-2020,27,1,42,7,72,3,4,0,0,139,62,1,13,4,23,12,14,10,8,29,0,8,9,-1,8,12,28,3,0,18,0,4,5,15,27,2,25,9,0,26,11,2,19,2,32,111,0,0,29,8,3,7,0,0,0,0
19-09-2020,9,0,16,8,131,4,0,1,0,62,63,0,0,3,25,10,1,0,7,0,1,7,26,15,13,17,15,10,0,4,0,3,6,-4,28,8,7,4,4,21,6,4,11,5,20,91,3,0,41,5,11,3,0,0,0,0
20-09-2020,0,0,10,0,-4,1,0,0,1,9,3,0,0,2,14,7,0,0,3,26,0,3,15,0,2,1,1,1,0,3,0,3,2,6,8,0,13,3,1,21,3,4,11,2,2,43,0,0,25,8,3,1,0,0,0,0
21-09-2020,2,0,1,16,38,4,3,1,1,21,2,4,0,4,7,11,19,5,1,9,1,4,7,12,4,0,12,3,10,0,0,2,2,72,4,1,16,2,3,23,1,2,13,0,15,51,1,0,6,6,1,2,0,0,0,0
22-09-2020,18,0,20,12,131,7,1,2,0,99,69,2,0,4,29,15,9,13,7,11,0,12,11,16,10,36,29,3,9,15,0,7,3,104,39,3,18,14,3,18,4,1,31,0,28,104,2,0,39,11,5,7,0,0,0,0
23-09-2020,31,0,27,20,110,5,1,2,0,202,96,0,2,3,22,17,5,7,5,19,0,7,19,16,6,24,71,2,1,10,0,6,3,1,30,7,22,8,6,35,4,0,19,0,16,123,1,0,29,6,2,8,1,0,0,0
24-09-2020,18,1,34,17,91,3,2,2,0,177,47,1,2,3,30,13,5,0,13,16,0,7,15,6,3,4,13,0,0,8,0,9,2,5,40,8,18,11,1,17,10,1,17,8,35,138,0,0,24,6,6,6,0,0,0,0
25-09-2020,-15,6,28,20,136,1,2,1,2,120,58,1,3,1,33,13,9,14,12,21,0,8,11,8,6,20,40,5,6,9,0,6,6,14,53,8,24,12,3,11,8,1,18,6,40,102,4,0,23,7,7,9,0,0,0,0
26-09-2020,10,0,35,19,60,6,0,3,1,107,40,0,4,2,25,24,2,0,5,0,0,8,18,17,10,17,63,1,1,9,1,6,5,3,31,8,12,11,0,18,7,1,26,2,22,103,0,0,8,4,2,7,0,0,0,0
27-09-2020,0,4,1,23,22,1,0,0,0,10,32,0,1,0,13,12,2,0,3,21,0,10,13,0,4,8,-1,2,1,3,0,3,0,7,1,4,17,2,1,3,2,0,3,0,3,42,5,0,15,7,2,0,0,0,0,0
28-09-2020,0,0,1,21,25,3,2,2,0,5,15,0,0,0,13,20,8,9,5,15,0,3,11,7,7,2,4,1,2,0,0,1,3,9,4,3,19,1,4,2,4,2,11,0,12,63,0,0,13,7,3,2,0,0,0,1
29-09-2020,16,0,8,21,151,2,2,3,2,106,33,8,2,4,23,19,17,8,8,10,1,8,8,21,5,36,9,3,6,8,0,10,2,8,49,5,21,11,8,13,6,1,22,5,31,87,4,0,15,5,8,17,0,0,0,0
30-09-2020,23,0,18,19,123,5,3,1,1,174,27,2,2,5,35,13,17,27,4,21,0,3,33,11,17,12,3,3,0,7,0,5,2,14,38,7,18,13,4,27,7,1,19,0,34,109,2,0,21,7,5,27,0,0,0,0
01-10-2020,8,2,24,15,89,3,3,2,1,127,42,0,3,3,24,18,8,0,17,8,0,0,24,19,13,10,5,1,15,3,2,18,5,8,47,10,20,4,1,15,4,2,22,13,47,114,0,0,20,10,4,21,3,0,0,0
02-10-2020,2,0,19,7,80,3,2,4,1,110,43,0,3,2,52,18,11,20,6,26,0,1,10,8,10,20,72,5,0,6,1,-9,5,38,29,8,10,9,3,19,8,2,9,1,14,99,15,0,22,7,2,5,0,0,0,0
03-10-2020,8,1,12,16,62,3,0,2,0,74,27,0,11,6,31,24,4,1,8,0,1,7,17,14,14,12,18,0,4,11,0,4,3,3,21,7,15,7,8,18,8,2,33,11,45,70,2,0,20,6,2,19,0,0,0,0
04-10-2020,0,0,1,18,23,8,0,1,2,43,29,0,3,2,17,15,6,0,4,32,0,1,3,0,7,2,9,1,4,3,1,1,2,14,5,3,13,0,1,15,5,2,11,0,17,30,2,0,3,4,1,5,0,0,0,0
05-10-2020,1,0,1,22,27,1,4,2,0,41,30,5,1,5,14,13,11,7,5,9,0,3,20,15,3,0,2,3,2,0,0,2,2,13,3,3,16,4,0,12,9,4,3,0,20,116,4,0,3,8,3,4,0,0,0,0
06-10-2020,21,0,6,22,69,12,4,0,0,55,37,1,3,5,31,15,15,0,4,6,0,6,8,22,4,14,21,2,4,6,3,9,0,7,33,3,23,11,9,16,1,0,15,0,24,91,6,0,15,11,3,18,0,0,0,0
07-10-2020,21,1,20,13,92,4,1,3,0,137,30,2,3,8,42,18,6,17,5,12,0,6,19,8,14,24,29,1,0,7,0,5,2,12,23,24,26,9,2,23,9,2,31,10,21,120,8,0,12,5,5,16,0,0,0,0
08-10-2020,36,1,10,21,78,10,5,2,3,164,35,0,1,3,32,23,14,24,11,5,0,6,8,24,6,23,30,4,7,13,2,9,3,8,29,6,27,10,11,21,10,4,12,14,63,106,5,0,25,7,1,9,1,0,0,0
09-10-2020,16,0,3,27,74,8,3,2,0,118,54,1,2,3,32,25,21,24,8,26,1,11,12,7,14,6,125,9,0,8,2,3,3,30,25,11,17,6,3,21,5,3,16,5,27,96,4,0,16,7,6,16,0,0,0,0
10-10-2020,11,0,13,22,85,9,0,1,2,0,45,0,2,1,30,17,5,2,7,0,0,5,10,19,10,16,27,3,5,2,5,7,5,5,18,15,25,4,2,33,8,2,21,9,26,78,5,0,10,3,5,18,0,0,0,0
11-10-2020,0,0,0,17,15,1,0,4,1,178,23,0,1,0,9,21,3,1,3,20,0,4,17,0,10,5,1,1,0,2,1,3,4,3,5,1,17,3,0,6,2,6,1,0,9,31,7,0,4,3,-2,7,0,0,0,0
12-10-2020,1,0,0,17,10,3,2,1,0,48,13,2,0,3,13,23,19,13,3,14,0,4,13,6,3,0,0,2,3,3,0,1,4,13,3,8,28,6,0,18,5,5,7,2,7,32,5,0,3,12,3,9,0,0,0,0
13-10-2020,0,0,8,25,64,37,1,1,0,119,25,1,4,2,30,29,10,12,14,10,0,9,13,30,7,14,0,5,5,10,0,7,3,8,43,12,22,15,6,14,3,7,17,0,23,89,0,0,11,4,2,34,3,0,0,0
14-10-2020,41,4,5,23,90,7,4,1,1,64,16,0,10,4,47,20,14,39,7,16,0,10,17,13,29,25,105,8,3,17,2,9,3,10,40,8,19,13,3,29,4,2,17,3,31,104,5,0,9,9,3,28,0,0,0,0
15-10-2020,50,0,17,11,82,2,3,4,0,141,22,0,1,1,53,35,11,0,20,12,1,6,25,34,19,12,-68,5,5,7,5,6,1,23,18,5,25,11,3,23,1,2,14,13,36,94,2,0,7,4,2,17,0,0,0,1
16-10-2020,30,1,17,20,89,10,2,1,3,94,64,2,1,6,52,42,8,21,4,20,1,4,30,15,13,8,18,5,12,9,2,5,6,9,36,18,26,11,6,22,15,2,8,3,7,95,8,0,20,5,3,21,0,0,0,0
17-10-2020,2,1,18,19,41,4,0,3,0,87,51,0,1,6,27,24,4,0,12,0,1,4,21,23,5,11,103,4,0,0,1,2,1,14,19,11,33,8,2,9,3,2,22,8,32,70,3,0,14,6,3,0,0,0,0,0
18-10-2020,0,0,3,20,23,0,0,2,0,50,31,0,1,-1,22,30,4,0,6,23,0,1,14,0,17,0,14,2,1,3,0,7,5,13,5,5,27,9,1,23,5,2,13,8,6,30,3,0,11,10,1,0,0,0,0,0
