date,new_cases,new_deaths,reproduction_rate,icu_patients,hosp_patients,new_tests,new_vaccinations
2/29/2020,34,1,0,0,0,0,0
3/7/2020,265,15,10.7,0,0,6867,0
3/14/2020,2627,42,23.81,0,0,46013,0
3/21/2020,20895,224,24.54,0,0,344810,0
3/28/2020,82109,1337,18.45,0,0,760008,0
4/4/2020,164438,5753,12.85,0,0,1008036,0
4/11/2020,218050,13024,8.99,0,0,1186777,0
4/18/2020,199013,15803,7.3,0,0,1111062,0
4/25/2020,200703,15132,7.08,0,0,1464945,0
5/2/2020,200132,13785,6.8,0,0,1890326,0
5/9/2020,186495,13053,6.48,0,0,2239981,0
5/16/2020,171237,10239,6.45,0,0,2703744,0
5/23/2020,166990,8297,6.63,0,0,2897522,0
5/30/2020,148658,7569,6.67,0,0,3229596,0
6/6/2020,149030,6162,7.01,0,0,3574758,0
6/13/2020,148034,5511,7.21,0,0,3808428,0
6/20/2020,175249,4435,8.09,0,0,4290259,0
6/27/2020,244843,6130,8.96,0,0,4713566,0
7/4/2020,328340,4347,8.79,0,0,5254262,0
7/11/2020,383992,5375,8.39,0,0,6007438,0
7/18/2020,457894,6549,7.92,40705,152737,6596245,0
7/25/2020,471701,7523,7.35,87448,313752,6815014,0
8/1/2020,436218,8061,6.83,98888,327394,6308248,0
8/8/2020,381587,7851,6.62,97485,314020,6075323,0
8/15/2020,368907,7674,6.56,89705,286937,6061026,0
8/22/2020,324868,6717,6.09,80552,262962,5908890,0
8/29/2020,295581,6315,6.4,71900,233864,5961302,0
9/5/2020,290882,5836,6.54,65443,213435,6063336,0
9/12/2020,252456,5018,6.63,61170,196629,5661575,0
9/19/2020,276932,5236,7.27,56585,183823,6774035,0
9/26/2020,303286,4801,7.19,54858,183432,6885584,0
10/3/2020,297028,4558,7.26,56021,190321,6847985,0
10/10/2020,326390,4730,7.66,59736,210572,8036308,0
10/17/2020,377349,4713,7.96,65123,235010,7617740,0
10/24/2020,436177,5684,8.24,72525,264237,8587663,0
10/31/2020,544216,6107,8.43,80626,301371,8805496,0
11/7/2020,754275,6852,8.85,90700,351943,9747572,0
11/14/2020,961193,8706,8.82,106066,437507,10926635,0
11/21/2020,1159103,10132,8.25,127514,533384,12783138,0
11/28/2020,1191736,12251,7.5,145072,603412,11664329,0
12/5/2020,1221160,13866,7.78,159587,675308,12521963,0
12/12/2020,1446449,17119,7.69,170153,722416,12839573,0
12/19/2020,1527892,19105,7.27,180063,775680,12558263,1093383
12/26/2020,1434655,19045,6.69,186153,807975,11042299,1878155
1/2/2021,1313791,18838,7.31,192894,854068,10642038,3105966
1/9/2021,1603592,20835,7.59,198451,894803,12913804,5613572
1/16/2021,1644742,23639,6.73,199796,886002,12602016,7179128
1/23/2021,1313760,22200,6.02,188191,811801,11902464,8371239
1/30/2021,1093806,22662,5.91,168989,709240,11353415,10315441
2/6/2021,896661,19967,5.64,148992,604151,10632854,11781298
2/13/2021,697968,18176,5.41,127860,505607,9186638,12835915
2/20/2021,497340,17171,5.35,107702,418707,8050973,10537483
2/27/2021,466053,13716,6.07,89985,351186,9265517,14618838
3/6/2021,429919,10488,6.18,75606,291358,9075141,16866398
3/13/2021,383872,8992,6.34,65974,255701,8708991,18101530
3/20/2021,381751,6677,6.81,60164,239638,8485327,18226864
3/27/2021,405006,6147,7.44,58209,238330,8627033,20112089
4/3/2021,454348,5552,7.39,59349,246849,8527156,22347928
4/10/2021,449981,4881,7.35,62960,260953,8729060,23919295
4/17/2021,472558,4932,7.01,66371,273292,8946936,21370778
4/24/2021,414750,4693,6.38,68413,275044,8767932,19499596
5/1/2021,345515,4522,6.1,66223,254119,8391325,17262209
5/8/2021,302994,4451,5.86,62362,229794,7721152,14533238
5/15/2021,242875,4078,5.68,56066,200516,7101350,12927617
5/22/2021,188859,3676,5.46,48765,171151,6356530,12509802
5/29/2021,150897,3480,5.27,42664,149489,5596928,8352627
6/5/2021,105300,2792,5.3,36816,125382,4973872,6760398
6/12/2021,104186,2807,5.92,31317,105820,4874985,7276919
6/19/2021,82637,1893,6.04,27153,93533,4485483,5658109
6/26/2021,84627,1961,6.89,25630,87282,4313033,4321894
7/3/2021,95118,1825,7.62,25885,89295,3957492,3694333
7/10/2021,275821,1497,9.36,28880,101385,3817151,3216273
7/17/2021,207900,1877,10.42,37100,133399,4450515,3376787
7/24/2021,331646,2040,10.63,51715,189949,5338890,3906832
7/31/2021,512206,2816,10.38,73176,281092,6346958,4420578
8/7/2021,713653,4140,9.76,101952,396986,7851722,4896128
8/14/2021,874081,5279,8.82,131782,518721,9016756,5122689
8/21/2021,998812,7695,8.17,157832,611343,9769651,5914847
8/28/2021,1080178,9902,7.71,174805,666522,11231677,6141348
9/4/2021,1144310,11573,7.32,181182,678866,11666713,5778137
9/11/2021,1032591,11766,6.98,180526,666707,10952282,4817898
9/18/2021,1051053,13543,6.77,174048,623375,11845991,4870834
9/25/2021,878055,13258,6.26,160625,561806,11637412,4717424
10/2/2021,767745,13246,6.23,142097,492152,11114292,6892309
10/9/2021,694157,11642,6.18,125482,433248,10866076,6177261
10/16/2021,598321,10677,6.19,121073,387743,10232083,5511978
10/23/2021,520086,11168,6.25,108980,345390,10134391,5882700
10/30/2021,518612,9086,6.71,96705,313792,9617934,9479733
11/6/2021,508801,7583,7.05,82040,291887,9716739,9701587
11/13/2021,524039,7409,7.52,79034,290081,10154160,10322766
11/20/2021,686053,10348,7.73,81462,308611,10585264,10800140
11/27/2021,624469,6789,7.03,87020,332366,7631751,7859898
12/4/2021,681197,7226,8.53,95302,370484,11407651,12623873
12/11/2021,850963,8256,7.92,103830,414230,11188864,11838065
12/18/2021,877919,9002,8.19,111154,439475,11840903,10559329
12/25/2021,1332732,11667,9.83,113375,453366,12399341,8252646
1/1/2022,2481523,9170,11.48,124172,589877,12986666,7718282
1/8/2022,4301911,10594,10.78,150651,840133,18054466,8830214
1/15/2022,5605477,13844,8.57,175779,1027520,17335254,7986873
1/22/2022,5164815,15510,7.01,182759,1057383,15687763,5886387
1/29/2022,4042416,18599,5.62,173397,972350,11901435,4984303
2/5/2022,2430146,18833,4.44,152236,809553,9877998,3739604
2/12/2022,1348693,18082,3.94,122928,624401,8857494,3223949
2/19/2022,759663,15956,3.72,91945,455725,8491959,2557553
2/26/2022,487932,13064,3.99,66742,326453,6849884,2159700
3/5/2022,362435,10400,4.25,47106,233724,6789352,1758088
3/12/2022,241606,8738,4.71,33064,167349,6146471,1362566
3/19/2022,214678,6147,5.62,23880,124623,6302642,1297505
3/26/2022,195759,5187,6.3,18164,98432,5977630,1202584
4/2/2022,195785,4346,6.68,14034,80372,5621348,2420038
4/9/2022,185984,3180,7.78,11971,72287,5536369,3525193
4/16/2022,246185,3468,7.71,10685,70686,4870841,3420256
4/23/2022,276277,2645,8.71,10240,75702,4508344,2944223
4/30/2022,366692,2093,8.52,10914,87274,5865131,2752280
5/7/2022,450582,2646,8.91,11888,100602,5579522,2459814
5/14/2022,582734,2020,8.72,12989,117080,5969381,2493962
5/21/2022,702438,2034,8.65,15565,140460,6304684,2594074
5/28/2022,742600,2528,7.49,17002,154110,5895026,2506809
6/4/2022,683663,2098,7.66,18200,167565,5129209,1863074
6/11/2022,733375,2354,7.18,19493,175371,4264194,1902930
6/18/2022,694308,2201,7.05,20702,181316,3333509,1639823
6/25/2022,671884,2373,7.2,21589,189362,0,1619845
7/2/2022,764792,2615,7.49,23303,206653,0,1556264
7/9/2022,748600,2452,7.45,26386,228052,0,1323703
7/16/2022,873101,2862,7.83,28846,252643,0,2000550
7/23/2022,884779,3024,7.29,31025,270102,0,2169617
7/30/2022,895263,3117,7.27,32756,276642,0,1818226
8/6/2022,896859,3281,6.71,32413,273696,0,1468085
8/13/2022,715992,3392,6.78,31607,264108,0,1294061
8/20/2022,648170,3278,6.29,30641,250059,0,1153621
8/27/2022,627838,3171,6.75,29207,236147,0,991743
9/3/2022,590674,3222,6.39,27362,221895,0,708670
9/10/2022,472698,2562,6.48,26183,210211,0,1953854
9/17/2022,427268,3125,6.17,23899,189512,0,3498445
9/24/2022,376899,2729,6.48,22303,174507,0,4010678
10/1/2022,327922,2978,6.24,20478,162170,0,4304340
10/8/2022,285585,2575,6.3,19408,155167,0,4521549
10/15/2022,259292,2347,6.37,18500,151095,0,4615972
10/22/2022,317433,3216,6.85,18859,150570,0,4551371
10/29/2022,255156,3081,7.16,18550,153066,0,4591774
11/5/2022,267304,2463,7.48,18258,153509,0,3840875
11/12/2022,282897,2290,7.33,18664,155686,0,3327466
11/19/2022,274984,2202,7.73,19471,155650,0,3074426
11/26/2022,300171,2619,7.42,20603,165374,0,1827976
12/3/2022,302599,1763,8.84,24000,203776,0,2267466
12/10/2022,462223,3035,8.45,26116,222554,0,2228895
12/17/2022,446014,2652,7.93,28557,234981,0,2110617
12/24/2022,508009,3033,7.21,29751,244344,0,1479730
12/31/2022,392203,2480,6.52,32286,264751,0,1212616
1/7/2023,471714,2764,1.78,35819,293489,0,1214691
1/14/2023,448092,4407,0,34178,266794,0,1200986
1/21/2023,308025,3664,0,29913,228161,0,822301
1/28/2023,294867,3743,0,25770,198126,0,692366
2/4/2023,285402,3452,0,23046,179011,0,587873
2/11/2023,278228,3440,0,21198,168377,0,541481
2/18/2023,254372,2857,0,20893,163850,0,456652
2/25/2023,267168,2362,0,20092,157092,0,409612
3/4/2023,227828,2197,0,18624,147065,0,412114
3/11/2023,170593,1887,0,17247,133677,0,385189
3/18/2023,126613,1741,0,15592,120000,0,356430
3/25/2023,152968,2084,0,15009,111294,0,342398
4/1/2023,176358,1746,0,13917,103582,0,322048
4/8/2023,139915,1737,0,12313,93978,0,285961
4/15/2023,103472,1729,0,11243,85184,0,269637
4/22/2023,104057,1290,0,10349,78555,0,321440
4/29/2023,98467,1198,0,8883,69293,0,510107
5/6/2023,86484,1046,0,8095,63087,0,556484
5/13/2023,77165,1146,0,7642,58816,0,88771
5/20/2023,93260,1943,0,7193,53938,0,0
