date,ILITOTAL,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,NUM. OF PROVIDERS,TOTAL PATIENTS
9/30/2002,2060,1.22262,1.16668,582,805,754,176569
10/7/2002,2267,1.33344,1.2165,683,872,785,186355
10/14/2002,2176,1.31929,1.13057,642,878,831,192469
10/21/2002,2599,1.49484,1.25246,728,1045,863,207512
10/28/2002,2907,1.47195,1.30237,823,1189,909,223208
11/4/2002,3225,1.58094,1.40551,887,1272,930,229454
11/11/2002,3097,1.49426,1.38437,851,1173,923,223712
11/18/2002,2967,1.40569,1.32563,802,1166,922,223818
11/25/2002,2709,1.6141,1.43475,834,978,918,188814
12/2/2002,3049,1.45967,1.25433,857,1117,937,243078
12/9/2002,2957,1.59896,1.25757,804,1179,928,235136
12/16/2002,3416,2.16697,1.58017,951,1404,908,216179
12/23/2002,2857,2.57842,1.98008,915,937,865,144287
12/30/2002,3260,2.38636,1.90428,1028,1019,879,171193
1/6/2003,3729,1.73621,1.5901,1068,1296,926,234513
1/13/2003,4204,2.06296,1.81559,1154,1798,902,231550
1/20/2003,5696,2.58113,2.41801,1373,2998,927,235566
1/27/2003,7079,2.93909,2.86635,1411,4064,884,246969
2/3/2003,7782,3.22539,3.16662,1606,4447,889,245751
2/10/2003,7649,3.06982,3.0155,1568,4224,903,253656
2/17/2003,7228,3.20044,2.9978,1694,3689,871,241110
2/24/2003,5606,2.44888,2.31957,1336,2583,857,241683
3/3/2003,4450,2.1344,1.94707,1015,2103,839,228549
3/10/2003,3810,1.99866,1.72985,880,1669,835,220250
3/17/2003,2987,1.93849,1.51837,737,1321,795,196724
3/24/2003,2439,1.41293,1.22616,624,1016,775,198913
3/31/2003,2028,1.23472,1.05433,506,846,741,192349
4/7/2003,2082,1.20005,1.07108,569,799,735,194383
4/14/2003,1467,0.910135,0.82612,440,539,669,177577
4/21/2003,1445,0.932265,0.820505,429,508,682,176111
4/28/2003,1075,0.692175,0.630846,275,444,655,170406
5/5/2003,1005,0.669406,0.63935,215,471,613,157191
5/12/2003,836,0.727705,0.586609,248,283,547,142514
5/19/2003,740,0.717701,0.773024,264,262,406,95728
5/26/2003,641,0.789394,0.790743,213,205,393,81063
6/2/2003,563,0.722129,0.711847,201,195,344,79090
6/9/2003,620,0.591326,0.794637,198,187,341,78023
6/16/2003,423,0.52307,0.586604,139,123,322,72110
6/23/2003,441,0.450236,0.615982,122,124,322,71593
6/30/2003,318,0.397421,0.491507,109,91,310,64699
7/7/2003,441,0.448002,0.604341,137,141,308,72972
7/14/2003,365,0.474767,0.524478,98,98,301,69593
7/21/2003,420,0.453251,0.590692,112,139,302,71103
7/28/2003,361,0.352158,0.505135,100,120,290,71466
8/4/2003,443,0.525322,0.634271,136,125,295,69844
8/11/2003,421,0.492991,0.610118,120,131,283,69003
8/18/2003,450,0.542728,0.641227,159,144,277,70178
8/25/2003,463,0.490347,0.661429,166,155,276,70000
9/1/2003,519,0.735914,0.792681,177,182,271,65474
9/8/2003,475,0.581771,0.639059,145,184,267,74328
9/15/2003,461,0.654162,0.636732,136,183,264,72401
9/22/2003,533,0.749504,0.747829,135,221,268,71273
9/29/2003,2442,0.884021,0.960873,808,881,830,254144
10/6/2003,2932,1.02773,1.04325,913,1132,931,281045
10/13/2003,3031,1.28296,1.0545,878,1147,974,287436
10/20/2003,3475,1.32661,1.11231,1006,1369,1007,312412
10/27/2003,4690,1.77304,1.41274,1207,2080,1074,331980
11/3/2003,5790,2.43814,1.72703,1542,2735,1111,335258
11/10/2003,8385,2.72605,2.407,2185,4133,1141,348359
11/17/2003,11141,3.73192,3.10962,2561,5684,1129,358275
11/24/2003,11742,4.54894,4.30779,3247,4933,1118,272576
12/1/2003,18948,5.39906,4.8303,4734,7817,1189,392274
12/8/2003,24962,7.38735,6.42905,6620,11550,1173,388269
12/15/2003,23699,7.48097,6.86734,6434,9851,1148,345097
12/22/2003,16415,7.62797,7.06496,5336,5231,1122,232344
12/29/2003,11332,5.14051,4.55115,3391,2894,1139,248992
12/29/2003,7602,2.89129,2.41833,1930,2299,1160,314349
1/5/2004,5583,2.10429,1.80906,1679,1857,1141,308614
1/12/2004,4961,1.88696,1.71202,1721,1604,1084,289774
1/19/2004,4436,1.7766,1.5425,1487,1543,1071,287586
1/26/2004,4251,1.46001,1.43787,1454,1448,1054,295646
2/2/2004,3824,1.37787,1.32427,1420,1297,986,288762
2/9/2004,3691,1.30532,1.30726,1301,1255,1004,282347
2/16/2004,2916,1.08691,1.03698,956,1038,948,281202
2/23/2004,2744,0.991888,1.01032,925,910,894,271597
3/1/2004,2708,1.02765,1.05249,878,888,897,257294
3/8/2004,2487,1.0579,1.02009,730,826,849,243802
3/15/2004,2300,0.849361,0.924419,760,733,859,248805
3/22/2004,1858,0.747127,0.790645,610,611,828,234998
3/29/2004,1705,0.661708,0.80261,583,566,774,212432
4/5/2004,1749,0.679514,0.83613,545,573,755,209178
4/12/2004,1615,0.633071,0.792436,501,511,679,203802
4/19/2004,1331,0.569894,0.683588,470,404,658,194708
4/26/2004,1394,0.591357,0.757452,435,491,629,184038
5/3/2004,1327,0.589044,0.788585,449,443,599,168276
5/10/2004,1262,0.67864,0.812171,451,380,553,155386
5/17/2004,1070,0.637558,0.804463,375,349,463,133008
5/24/2004,1061,0.813309,0.877701,391,308,452,120884
5/31/2004,987,0.834551,0.741453,355,309,443,133117
6/7/2004,851,0.616174,0.661022,307,240,426,128740
6/14/2004,887,0.513286,0.715109,277,284,423,124037
6/21/2004,698,0.351881,0.562241,238,183,408,124146
6/28/2004,710,0.542621,0.786808,233,205,381,90238
7/5/2004,836,0.581036,0.860658,249,280,378,97135
7/12/2004,659,0.495486,0.689944,259,200,370,95515
7/19/2004,719,0.61209,0.779691,260,230,363,92216
7/26/2004,733,0.531491,0.628144,213,235,345,116693
8/2/2004,809,0.519987,0.902459,243,256,334,89644
8/9/2004,770,0.574476,0.806443,256,256,335,95481
8/16/2004,799,0.663175,0.874888,259,265,333,91326
8/23/2004,960,0.614691,0.993213,279,358,326,96656
8/30/2004,913,0.656823,0.876141,281,309,337,104207
9/6/2004,1122,0.723016,0.948092,342,413,341,118343
9/13/2004,1089,0.691857,0.926943,322,416,336,117483
9/20/2004,1116,0.782758,0.971643,333,382,364,114857
9/27/2004,3171,0.982275,0.897159,877,1256,1176,353449
10/4/2004,3631,1.01821,1.02248,1071,1373,1187,355116
10/11/2004,4019,1.1768,1.06296,1240,1534,1267,378094
10/18/2004,4369,1.30121,1.14696,1190,1671,1293,380921
10/25/2004,4551,1.27746,1.20495,1327,1718,1302,377692
11/1/2004,4969,1.40387,1.30517,1497,1874,1344,380718
11/8/2004,4983,1.40301,1.28699,1531,1874,1336,387182
11/15/2004,4713,1.73975,1.59468,1490,1678,1341,295546
11/22/2004,5407,1.56894,1.39714,1538,2059,1369,387004
11/29/2004,5428,1.65927,1.44996,1551,2052,1346,374356
12/6/2004,5755,1.81341,1.61745,1670,2071,1379,355806
12/13/2004,5689,2.37626,2.19112,1856,1807,1288,259639
12/20/2004,7279,2.77052,2.56649,2252,1993,1332,283617
12/27/2004,8041,2.40064,2.17645,2010,2450,1383,369455
1/3/2005,8323,2.54155,2.20171,2188,2982,1342,378024
1/10/2005,9328,2.85871,2.53012,2199,3682,1348,368678
1/17/2005,12422,3.55011,3.06524,2747,5364,1334,405254
1/24/2005,16192,4.58591,3.98061,3086,7650,1303,406772
1/31/2005,19369,5.05809,4.59568,3626,8854,1324,421461
2/7/2005,19931,5.44151,4.75197,3834,8400,1330,419426
2/14/2005,16630,4.4729,4.17962,3720,6759,1280,397883
2/21/2005,13234,3.6752,3.45359,2997,5343,1268,383196
2/28/2005,11601,3.3353,3.15852,2728,4494,1227,367292
3/7/2005,9502,2.76224,2.6732,2416,3513,1185,355454
3/14/2005,7900,2.46844,2.35161,2145,2771,1148,335940
3/21/2005,6329,2.00081,1.89243,1827,2133,1103,334438
3/28/2005,4816,1.54319,1.5249,1422,1737,1048,315823
4/4/2005,4445,1.50195,1.41134,1356,1603,1000,314948
4/11/2005,3825,1.22918,1.25068,1096,1469,978,305833
4/18/2005,3646,1.21854,1.20702,1117,1411,971,302065
4/25/2005,2990,1.15832,1.07895,903,1136,923,277120
5/2/2005,3012,1.249,1.14521,979,1115,878,263009
5/9/2005,2531,1.16888,1.06124,805,926,825,238494
5/16/2005,2056,1.07888,1.0568,687,695,687,194550
5/23/2005,2099,1.23059,1.25193,693,678,637,167661
5/30/2005,1744,1.14747,1.01419,548,594,603,171960
6/6/2005,1614,1.00254,1.04197,573,507,582,154899
6/13/2005,1628,0.957569,0.954027,580,507,587,170645
6/20/2005,1359,0.894837,0.84823,497,452,550,160216
6/27/2005,1198,0.798205,0.841872,426,390,533,142302
7/4/2005,1148,0.757812,0.730894,389,361,524,157068
7/11/2005,1068,0.825963,0.713432,333,364,507,149699
7/18/2005,990,0.744927,0.670677,328,327,492,147612
7/25/2005,982,0.787049,0.689278,331,326,488,142468
8/1/2005,1023,0.684724,0.704929,319,350,479,145121
8/8/2005,928,0.747361,0.615903,330,326,480,150673
8/15/2005,922,0.673974,0.609426,292,311,428,151290
8/22/2005,1033,0.869662,0.680259,342,367,420,151854
8/29/2005,1061,0.899529,0.775488,338,396,416,136817
9/5/2005,1026,0.854635,0.683421,302,383,408,150127
9/12/2005,1219,1.01123,0.781075,368,516,419,156067
9/19/2005,1204,0.977808,0.806943,381,484,447,149205
9/26/2005,3586,1.17778,1.07635,1172,1256,1113,333164
10/3/2005,3582,1.21947,1.05869,1285,1247,1160,338343
10/10/2005,4122,1.3069,1.11523,1393,1525,1216,369609
10/17/2005,4248,1.33931,1.12381,1439,1599,1237,377999
10/24/2005,5005,1.58374,1.25489,1639,1894,1280,398840
10/31/2005,5038,1.47072,1.33661,1563,1929,1272,376924
11/7/2005,5276,1.6112,1.37864,1679,1951,1277,382697
11/14/2005,4802,1.82699,1.60829,1666,1593,1301,298578
11/21/2005,5966,1.77482,1.48311,1858,2176,1325,402264
11/28/2005,6371,1.94451,1.65374,1987,2463,1328,385248
12/5/2005,7697,2.35512,2.00679,2241,3063,1318,383548
12/12/2005,8577,3.10878,2.56857,2696,3058,1287,333921
12/19/2005,8842,3.28238,3.05278,2678,2561,1273,289638
12/26/2005,8339,2.62914,2.42504,2422,2366,1319,343871
1/2/2006,7882,2.2515,2.00195,2272,2921,1339,393716
1/9/2006,7858,2.35858,2.05869,2249,3150,1297,381699
1/16/2006,9114,2.41881,2.21277,2643,3646,1331,411882
1/23/2006,9551,2.52752,2.3222,2612,4153,1320,411291
1/30/2006,10427,2.64954,2.49279,2754,4593,1311,418286
2/6/2006,11226,3.12935,2.79489,2624,4979,1288,401661
2/13/2006,11901,3.12442,2.96911,2753,5284,1288,400827
2/20/2006,11343,3.13099,2.83959,2579,5008,1275,399459
2/27/2006,11261,3.08261,2.77799,2564,5106,1257,405365
3/6/2006,9322,2.64431,2.47287,2330,4154,1241,376971
3/13/2006,8064,2.42295,2.18061,1895,3709,1217,369804
3/20/2006,7313,2.31141,2.0168,1697,3393,1165,362605
3/27/2006,5738,1.86383,1.64101,1437,2660,1133,349662
4/3/2006,4547,1.44943,1.35829,1181,2014,1087,334760
4/10/2006,3550,1.30227,1.1428,959,1479,1045,310641
4/17/2006,3177,1.13459,1.04031,836,1382,1017,305389
4/24/2006,2780,1.06255,0.964347,745,1208,958,288278
5/1/2006,2592,1.03428,0.937982,745,1039,919,276338
5/8/2006,2428,1.01791,0.947449,715,969,877,256267
5/15/2006,2061,0.918151,0.891918,699,764,783,231075
5/22/2006,1645,0.93099,0.864643,572,561,649,190252
5/29/2006,2075,0.857294,0.97032,754,626,635,213847
6/5/2006,1430,0.786294,0.84439,514,447,615,169353
6/12/2006,1300,0.719426,0.77487,463,409,610,167770
6/19/2006,1271,0.718868,0.821372,466,390,572,154741
6/26/2006,1215,0.774807,0.872745,437,402,565,139216
7/3/2006,1617,0.76598,0.922635,549,511,577,175259
7/10/2006,1553,0.642809,0.899487,541,440,564,172654
7/17/2006,1455,0.622033,0.843082,502,403,564,172581
7/24/2006,1428,0.616326,0.881824,508,430,551,161937
7/31/2006,1373,0.685694,0.817145,473,435,547,168024
8/7/2006,1457,0.622697,0.8715,510,466,536,167183
8/14/2006,1138,0.611817,0.738621,404,379,503,154071
8/21/2006,1224,0.638831,0.797966,398,457,488,153390
8/28/2006,1463,0.806627,1.01394,492,506,491,144289
9/4/2006,1406,0.762448,0.880936,446,521,487,159603
9/11/2006,1487,0.813406,0.943366,511,534,455,157627
9/18/2006,1433,0.807934,0.891546,476,512,469,160732
9/25/2006,4513,1.15384,1.20322,1434,1699,1323,375076
10/2/2006,4072,1.14819,1.05788,1278,1602,1361,384920
10/9/2006,4737,1.22736,1.13054,1543,1830,1425,419005
10/16/2006,4888,1.21744,1.12552,1582,1996,1445,434287
10/23/2006,5380,1.32813,1.20808,1672,2270,1473,445334
10/30/2006,6139,1.47754,1.34952,2112,2393,1497,454901
11/6/2006,6668,1.5339,1.4689,2355,2681,1474,453945
11/13/2006,6156,1.91269,1.82767,2188,2202,1488,336822
11/20/2006,7530,1.838,1.6656,2573,2792,1486,452089
11/27/2006,8122,1.95376,1.85968,2643,3244,1493,436741
12/4/2006,10396,2.40407,2.38891,3270,4470,1492,435177
12/11/2006,10192,2.87453,2.78978,3387,4065,1435,365334
12/18/2006,8913,3.02597,3.11549,3243,2868,1359,286087
12/25/2006,8386,2.37817,2.26942,2927,2481,1490,369521
1/1/2007,7761,2.09232,1.86355,2507,2756,1467,416464
1/8/2007,7909,2.29396,1.99986,2548,3248,1470,395477
1/15/2007,10888,2.74501,2.4406,3410,4684,1495,446119
1/22/2007,12120,3.04434,2.83018,3456,5648,1472,428241
1/29/2007,14197,3.49999,3.12343,3840,6995,1484,454533
2/5/2007,14031,3.57851,3.27019,3879,6668,1461,429057
2/12/2007,14048,3.28979,3.17757,3728,6537,1460,442099
2/19/2007,11801,2.89149,2.72364,3016,5429,1428,433281
2/26/2007,10715,2.62075,2.50201,2798,4937,1408,428255
3/5/2007,9597,2.53387,2.4272,2668,4031,1361,395394
3/12/2007,7562,2.07251,1.96041,2049,3307,1333,385735
3/19/2007,6148,1.87084,1.5914,1664,2508,1303,386327
3/26/2007,4958,1.40042,1.36978,1445,1803,1284,361955
4/2/2007,4869,1.46887,1.36317,1429,1821,1240,357183
4/9/2007,4179,1.15514,1.1737,1257,1523,1206,356055
4/16/2007,3695,1.07901,1.06358,1152,1386,1152,347413
4/23/2007,3077,0.98492,0.969711,969,1143,1119,317311
4/30/2007,2860,1.03325,0.965362,917,1055,1057,296262
5/7/2007,2442,0.926649,0.856749,815,861,1025,285031
5/14/2007,2243,0.9201,0.863346,761,785,925,259803
5/21/2007,2058,0.954094,0.93537,722,652,831,220020
5/28/2007,1679,0.763278,0.745569,628,510,796,225197
6/4/2007,1614,0.81722,0.740428,598,469,771,217982
6/11/2007,1456,0.764586,0.672897,521,441,749,216378
6/18/2007,1455,0.793127,0.666282,514,408,742,218376
6/25/2007,1169,0.66909,0.662747,394,360,711,176387
7/2/2007,1086,0.62115,0.545619,366,372,697,199040
7/9/2007,1211,0.603659,0.586231,446,345,698,206574
7/16/2007,1356,0.649058,0.660687,477,392,691,205241
7/23/2007,1037,0.568338,0.534093,321,311,677,194161
7/30/2007,1172,0.651546,0.585549,389,385,667,200154
8/6/2007,1283,0.652176,0.618075,439,411,666,207580
8/13/2007,1448,0.803849,0.687465,495,457,671,210629
8/20/2007,1526,0.787458,0.715696,502,500,652,213219
8/27/2007,1554,0.943263,0.829313,519,545,641,187384
9/3/2007,1694,0.946932,0.800912,496,682,638,211509
9/10/2007,1913,0.987146,0.918484,609,681,632,208278
9/17/2007,2228,1.05206,0.814259,729,788,703,273623
9/24/2007,5641,0.995184,1.07197,2187,1997,1373,526227
10/1/2007,6444,1.22003,1.21786,2387,2433,1429,529126
10/8/2007,6941,1.28548,1.24576,2583,2551,1449,557172
10/15/2007,7434,1.3775,1.35984,2871,2788,1477,546680
10/22/2007,7915,1.46725,1.44671,3074,2998,1485,547104
10/29/2007,8687,1.55841,1.53286,3398,3303,1539,566717
11/5/2007,9104,1.61958,1.66653,3563,3290,1516,546284
11/12/2007,8570,1.8112,1.97488,3651,2631,1523,433951
11/19/2007,9171,1.61865,1.67305,3679,3158,1513,548159
11/26/2007,8436,1.62124,1.63405,3365,2907,1487,516263
12/3/2007,8091,1.67351,1.74595,3298,2694,1453,463416
12/10/2007,8750,1.95096,1.93643,3580,2724,1420,451862
12/17/2007,8902,2.50019,2.48905,3848,2348,1426,357646
12/31/2007,9706,2.43939,2.25405,3737,2568,1486,430603
1/7/2008,11115,2.29319,2.09147,3393,3644,1509,531444
1/14/2008,12197,2.62907,2.35934,3664,4900,1511,516966
1/21/2008,17171,3.92966,3.32331,4289,7661,1508,516683
1/28/2008,24812,4.99202,4.43381,5222,11974,1514,559609
2/4/2008,31896,5.7776,5.34547,6059,15323,1526,596692
2/11/2008,31625,5.98318,5.42258,6244,14336,1518,583210
2/18/2008,30245,5.61677,5.30303,5922,12783,1497,570334
2/25/2008,25027,4.53234,4.24456,4978,9958,1453,589626
3/3/2008,20254,3.83249,3.628,4420,7849,1445,558269
3/10/2008,16714,3.21522,3.03463,3878,6112,1412,550776
3/17/2008,13040,2.69245,2.53595,3153,4493,1395,514205
3/24/2008,10376,2.03366,2.0573,2689,3395,1379,504350
3/31/2008,8583,1.65275,1.7415,2372,2697,1327,492850
4/7/2008,7045,1.3113,1.40652,2045,2354,1318,500881
4/14/2008,6079,1.1652,1.26861,1857,2013,1288,479187
4/21/2008,4953,1.02035,1.07719,1572,1713,1208,459808
4/28/2008,4224,0.877607,0.993445,1466,1416,1147,425187
5/5/2008,4011,0.825107,0.911212,1356,1381,1098,440183
5/12/2008,3904,0.787315,0.972109,1439,1274,1074,401601
5/19/2008,3646,0.805439,0.993258,1393,1116,945,367075
5/26/2008,3803,0.886061,1.09132,1473,1083,869,348477
6/2/2008,2933,0.743743,0.888446,1159,906,789,330127
6/9/2008,2906,0.706842,0.887691,1113,886,764,327366
6/16/2008,2842,0.655943,0.883187,1115,855,755,321789
6/23/2008,2534,0.633492,0.826756,937,810,730,306499
6/30/2008,2405,0.571837,0.783201,913,762,713,307073
7/7/2008,2431,0.558278,0.78061,881,749,710,311423
7/14/2008,2319,0.597893,0.769073,826,703,696,301532
7/21/2008,2166,0.577222,0.721298,779,704,694,300292
7/28/2008,2289,0.596987,0.752527,788,763,676,304175
8/4/2008,2220,0.564653,0.752721,679,706,668,294930
8/11/2008,2368,0.585682,0.792766,789,745,657,298701
8/18/2008,2237,0.503985,0.743896,730,754,657,300714
8/25/2008,2429,0.468139,0.814166,794,892,636,298342
9/1/2008,2461,0.576455,0.838401,774,880,666,293535
9/8/2008,2788,0.681361,0.851124,859,994,685,327567
9/15/2008,3735,0.794764,1.10976,1062,1527,679,336560
9/22/2008,3400,0.868116,1.03114,983,1306,716,329731
9/29/2008,5687,1.06828,1.02284,1535,2352,1435,555999
10/6/2008,5959,1.00756,1.03017,1861,2291,1500,578446
10/13/2008,5896,0.979399,1.01245,1869,2219,1525,582351
10/20/2008,6485,1.04943,1.08359,1976,2474,1527,598473
10/27/2008,6987,1.13218,1.16578,2119,2547,1545,599343
11/3/2008,7297,1.13156,1.1913,2276,2668,1555,612526
11/10/2008,7667,1.15469,1.28075,2512,2854,1555,598635
11/17/2008,7733,1.20448,1.27053,2600,2828,1563,608646
11/24/2008,7634,1.36081,1.59578,3024,2412,1523,478386
12/1/2008,8708,1.30322,1.4585,3114,2913,1551,597052
12/8/2008,8689,1.30204,1.49921,3252,3024,1543,579573
12/15/2008,7812,1.45109,1.62982,3137,2579,1416,479318
12/22/2008,8706,1.79927,2.15561,3897,2367,1484,403876
12/29/2008,8603,2.12134,2.02053,3814,2042,1490,425780
12/29/2008,8956,1.47138,1.54566,3245,2548,1539,579428
1/5/2009,9289,1.61555,1.64224,3142,3345,1512,565631
1/12/2009,11456,1.95333,1.96524,3602,4597,1566,582932
1/19/2009,14324,2.42907,2.34368,4039,6602,1554,611176
1/26/2009,18268,2.96686,2.86057,4606,8882,1580,638613
2/2/2009,21667,3.57354,3.3421,5064,11215,1569,648304
2/9/2009,20022,3.36653,3.20566,4848,9851,1543,624583
2/16/2009,20450,3.2962,3.10049,4694,10092,1544,659573
2/23/2009,18441,3.17227,2.95819,4420,9116,1534,623389
3/2/2009,15711,2.5804,2.46381,4046,7446,1524,637672
3/9/2009,13277,2.42922,2.19272,3657,6036,1494,605503
3/16/2009,11400,1.99028,1.87395,3237,5052,1470,608342
3/23/2009,9669,1.72423,1.64817,2829,4283,1440,586651
3/30/2009,8460,1.60355,1.49878,2577,3407,1422,564460
4/6/2009,7222,1.28418,1.29233,2371,2761,1415,558837
4/13/2009,7348,1.2932,1.27164,2353,2855,1445,577836
4/20/2009,18627,2.74012,2.98159,4821,8043,1405,624734
4/27/2009,14578,2.22391,2.43702,3920,6221,1422,598189
5/4/2009,12554,1.76657,2.2813,3236,5888,1372,550300
5/11/2009,20774,1.92171,3.81572,4188,12026,1331,544432
5/18/2009,22394,1.8611,4.21315,4496,12461,1314,531526
5/25/2009,17105,1.68423,3.17832,3865,8615,1305,538177
6/1/2009,12392,1.7393,2.50972,3072,5660,1296,493761
6/8/2009,10780,1.83001,2.06632,2623,4740,1280,521701
6/15/2009,8801,1.58128,1.71805,2299,3700,1279,512268
6/22/2009,7422,1.49172,1.55965,2145,2893,1237,475877
6/29/2009,6290,1.389,1.30856,1701,2481,1246,480680
7/6/2009,5964,1.34702,1.18695,1581,2437,1248,502466
7/13/2009,5735,1.16056,1.13796,1608,2285,1248,503971
7/20/2009,5587,1.2085,1.15005,1519,2199,1254,485804
7/27/2009,5526,1.15544,1.11262,1651,2082,1230,496666
8/3/2009,5877,1.14518,1.16142,1645,2321,1234,506019
8/10/2009,8941,1.4664,1.64107,2167,4210,1286,544827
8/17/2009,14556,2.38017,2.47166,2883,8253,1320,588916
8/24/2009,21350,3.44681,3.71969,3713,13114,1358,573972
8/31/2009,22561,4.05315,3.94975,4087,13407,1367,571201
9/7/2009,26091,4.26621,4.08756,4445,15326,1380,638302
9/14/2009,24454,4.21579,4.01897,4462,14152,1313,608464
9/21/2009,27919,4.8861,4.60362,4974,16291,1331,606458
9/28/2009,48420,6.06923,5.66087,9302,27406,2056,855346
10/5/2009,58196,7.09467,6.81522,11527,32585,2134,853912
10/12/2009,69068,7.7151,7.61889,13187,39364,2162,906536
10/19/2009,66411,7.55134,7.38836,13174,36860,2167,898860
10/26/2009,57017,6.67118,6.33927,12161,30860,2197,899425
11/2/2009,42729,5.20633,4.94349,10151,21112,2191,864348
11/9/2009,32520,4.04477,3.80996,8979,14652,2157,853552
11/16/2009,22508,3.49722,3.44106,7716,8237,2146,654101
11/23/2009,21730,2.69023,2.66773,7195,7988,2122,814550
11/30/2009,19325,2.47119,2.47183,6490,7218,2093,781811
